Waktu(s),ID_Agen,Tipe_Agen,ID_Edge,Fungsi_Edge
0.10,CyanCar.0,Vehicle,-E6,normal
0.10,RedCar.0,Vehicle,-E4,normal
0.10,Ped1.0,Pedestrian,E4,normal
0.10,Ped2.0,Pedestrian,E6,normal
0.20,CyanCar.0,Vehicle,-E6,normal
0.20,RedCar.0,Vehicle,-E4,normal
0.20,Ped1.0,Pedestrian,:J5_w0,walkingarea
0.20,Ped2.0,Pedestrian,:J5_w2,walkingarea
0.30,CyanCar.0,Vehicle,-E6,normal
0.30,RedCar.0,Vehicle,-E4,normal
0.30,Ped1.0,Pedestrian,:J5_w0,walkingarea
0.30,Ped2.0,Pedestrian,:J5_w2,walkingarea
0.40,CyanCar.0,Vehicle,-E6,normal
0.40,RedCar.0,Vehicle,-E4,normal
0.40,Ped1.0,Pedestrian,:J5_w0,walkingarea
0.40,Ped2.0,Pedestrian,:J5_w2,walkingarea
0.50,CyanCar.0,Vehicle,-E6,normal
0.50,RedCar.0,Vehicle,-E4,normal
0.50,Ped1.0,Pedestrian,:J5_w0,walkingarea
0.50,Ped2.0,Pedestrian,:J5_w2,walkingarea
0.60,CyanCar.0,Vehicle,-E6,normal
0.60,RedCar.0,Vehicle,-E4,normal
0.60,Ped1.0,Pedestrian,:J5_w0,walkingarea
0.60,Ped2.0,Pedestrian,:J5_w2,walkingarea
0.70,CyanCar.0,Vehicle,-E6,normal
0.70,RedCar.0,Vehicle,-E4,normal
0.70,Ped1.0,Pedestrian,:J5_w0,walkingarea
0.70,Ped2.0,Pedestrian,:J5_w2,walkingarea
0.80,CyanCar.0,Vehicle,-E6,normal
0.80,RedCar.0,Vehicle,-E4,normal
0.80,Ped1.0,Pedestrian,:J5_w0,walkingarea
0.80,Ped2.0,Pedestrian,:J5_w2,walkingarea
0.90,CyanCar.0,Vehicle,-E6,normal
0.90,RedCar.0,Vehicle,-E4,normal
0.90,Ped1.0,Pedestrian,:J5_w0,walkingarea
0.90,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.00,CyanCar.0,Vehicle,-E6,normal
1.00,RedCar.0,Vehicle,-E4,normal
1.00,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.00,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.10,CyanCar.0,Vehicle,-E6,normal
1.10,RedCar.0,Vehicle,-E4,normal
1.10,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.10,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.20,CyanCar.0,Vehicle,-E6,normal
1.20,RedCar.0,Vehicle,-E4,normal
1.20,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.20,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.30,CyanCar.0,Vehicle,-E6,normal
1.30,RedCar.0,Vehicle,-E4,normal
1.30,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.30,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.40,CyanCar.0,Vehicle,-E6,normal
1.40,RedCar.0,Vehicle,-E4,normal
1.40,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.40,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.50,CyanCar.0,Vehicle,-E6,normal
1.50,RedCar.0,Vehicle,-E4,normal
1.50,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.50,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.60,CyanCar.0,Vehicle,-E6,normal
1.60,RedCar.0,Vehicle,-E4,normal
1.60,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.60,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.70,CyanCar.0,Vehicle,-E6,normal
1.70,RedCar.0,Vehicle,-E4,normal
1.70,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.70,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.80,CyanCar.0,Vehicle,-E6,normal
1.80,RedCar.0,Vehicle,-E4,normal
1.80,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.80,Ped2.0,Pedestrian,:J5_w2,walkingarea
1.90,CyanCar.0,Vehicle,-E6,normal
1.90,RedCar.0,Vehicle,-E4,normal
1.90,Ped1.0,Pedestrian,:J5_w0,walkingarea
1.90,Ped2.0,Pedestrian,:J5_w2,walkingarea
2.00,CyanCar.0,Vehicle,-E6,normal
2.00,RedCar.0,Vehicle,-E4,normal
2.00,Ped1.0,Pedestrian,:J5_w0,walkingarea
2.00,Ped2.0,Pedestrian,:J5_w2,walkingarea
2.10,CyanCar.0,Vehicle,-E6,normal
2.10,RedCar.0,Vehicle,-E4,normal
2.10,Ped1.0,Pedestrian,:J5_w0,walkingarea
2.10,Ped2.0,Pedestrian,:J5_w2,walkingarea
2.20,CyanCar.0,Vehicle,-E6,normal
2.20,RedCar.0,Vehicle,-E4,normal
2.20,Ped1.0,Pedestrian,:J5_w0,walkingarea
2.20,Ped2.0,Pedestrian,:J5_w2,walkingarea
2.30,CyanCar.0,Vehicle,-E6,normal
2.30,RedCar.0,Vehicle,-E4,normal
2.30,Ped1.0,Pedestrian,:J5_w0,walkingarea
2.30,Ped2.0,Pedestrian,:J5_w2,walkingarea
2.40,CyanCar.0,Vehicle,-E6,normal
2.40,RedCar.0,Vehicle,-E4,normal
2.40,Ped1.0,Pedestrian,:J5_c1,crossing
2.40,Ped2.0,Pedestrian,:J5_w2,walkingarea
2.50,CyanCar.0,Vehicle,-E6,normal
2.50,RedCar.0,Vehicle,-E4,normal
2.50,Ped1.0,Pedestrian,:J5_c1,crossing
2.50,Ped2.0,Pedestrian,:J5_w2,walkingarea
2.60,CyanCar.0,Vehicle,-E6,normal
2.60,RedCar.0,Vehicle,-E4,normal
2.60,Ped1.0,Pedestrian,:J5_c1,crossing
2.60,Ped2.0,Pedestrian,:J5_c0,crossing
2.70,CyanCar.0,Vehicle,-E6,normal
2.70,RedCar.0,Vehicle,-E4,normal
2.70,Ped1.0,Pedestrian,:J5_c1,crossing
2.70,Ped2.0,Pedestrian,:J5_c0,crossing
2.80,CyanCar.0,Vehicle,-E6,normal
2.80,RedCar.0,Vehicle,-E4,normal
2.80,Ped1.0,Pedestrian,:J5_c1,crossing
2.80,Ped2.0,Pedestrian,:J5_c0,crossing
2.90,CyanCar.0,Vehicle,-E6,normal
2.90,RedCar.0,Vehicle,-E4,normal
2.90,Ped1.0,Pedestrian,:J5_c1,crossing
2.90,Ped2.0,Pedestrian,:J5_c0,crossing
3.00,CyanCar.0,Vehicle,-E6,normal
3.00,RedCar.0,Vehicle,-E4,normal
3.00,Ped1.0,Pedestrian,:J5_c1,crossing
3.00,Ped2.0,Pedestrian,:J5_c0,crossing
3.10,CyanCar.0,Vehicle,-E6,normal
3.10,RedCar.0,Vehicle,-E4,normal
3.10,Ped1.0,Pedestrian,:J5_c1,crossing
3.10,Ped2.0,Pedestrian,:J5_c0,crossing
3.20,CyanCar.0,Vehicle,-E6,normal
3.20,RedCar.0,Vehicle,-E4,normal
3.20,Ped1.0,Pedestrian,:J5_c1,crossing
3.20,Ped2.0,Pedestrian,:J5_c0,crossing
3.30,CyanCar.0,Vehicle,-E6,normal
3.30,RedCar.0,Vehicle,-E4,normal
3.30,Ped1.0,Pedestrian,:J5_c1,crossing
3.30,Ped2.0,Pedestrian,:J5_c0,crossing
3.40,CyanCar.0,Vehicle,-E6,normal
3.40,RedCar.0,Vehicle,-E4,normal
3.40,Ped1.0,Pedestrian,:J5_c1,crossing
3.40,Ped2.0,Pedestrian,:J5_c0,crossing
3.50,CyanCar.0,Vehicle,-E6,normal
3.50,RedCar.0,Vehicle,-E4,normal
3.50,Ped1.0,Pedestrian,:J5_c1,crossing
3.50,Ped2.0,Pedestrian,:J5_c0,crossing
3.60,CyanCar.0,Vehicle,-E6,normal
3.60,RedCar.0,Vehicle,-E4,normal
3.60,Ped1.0,Pedestrian,:J5_c1,crossing
3.60,Ped2.0,Pedestrian,:J5_c0,crossing
3.70,CyanCar.0,Vehicle,-E6,normal
3.70,RedCar.0,Vehicle,-E4,normal
3.70,Ped1.0,Pedestrian,:J5_c1,crossing
3.70,Ped2.0,Pedestrian,:J5_c0,crossing
3.80,CyanCar.0,Vehicle,-E6,normal
3.80,RedCar.0,Vehicle,-E4,normal
3.80,Ped1.0,Pedestrian,:J5_c1,crossing
3.80,Ped2.0,Pedestrian,:J5_c0,crossing
3.90,CyanCar.0,Vehicle,-E6,normal
3.90,RedCar.0,Vehicle,-E4,normal
3.90,Ped1.0,Pedestrian,:J5_c1,crossing
3.90,Ped2.0,Pedestrian,:J5_c0,crossing
4.00,CyanCar.0,Vehicle,-E6,normal
4.00,RedCar.0,Vehicle,-E4,normal
4.00,Ped1.0,Pedestrian,:J5_c1,crossing
4.00,Ped2.0,Pedestrian,:J5_c0,crossing
4.10,CyanCar.0,Vehicle,-E6,normal
4.10,RedCar.0,Vehicle,-E4,normal
4.10,Ped1.0,Pedestrian,:J5_c1,crossing
4.10,Ped2.0,Pedestrian,:J5_c0,crossing
4.20,CyanCar.0,Vehicle,-E6,normal
4.20,RedCar.0,Vehicle,-E4,normal
4.20,Ped1.0,Pedestrian,:J5_c1,crossing
4.20,Ped2.0,Pedestrian,:J5_c0,crossing
4.30,CyanCar.0,Vehicle,-E6,normal
4.30,RedCar.0,Vehicle,-E4,normal
4.30,Ped1.0,Pedestrian,:J5_c1,crossing
4.30,Ped2.0,Pedestrian,:J5_c0,crossing
4.40,CyanCar.0,Vehicle,-E6,normal
4.40,RedCar.0,Vehicle,-E4,normal
4.40,Ped1.0,Pedestrian,:J5_c1,crossing
4.40,Ped2.0,Pedestrian,:J5_c0,crossing
4.50,CyanCar.0,Vehicle,-E6,normal
4.50,RedCar.0,Vehicle,-E4,normal
4.50,Ped1.0,Pedestrian,:J5_c1,crossing
4.50,Ped2.0,Pedestrian,:J5_c0,crossing
4.60,CyanCar.0,Vehicle,-E6,normal
4.60,RedCar.0,Vehicle,-E4,normal
4.60,Ped1.0,Pedestrian,:J5_c1,crossing
4.60,Ped2.0,Pedestrian,:J5_c0,crossing
4.70,CyanCar.0,Vehicle,-E6,normal
4.70,RedCar.0,Vehicle,-E4,normal
4.70,Ped1.0,Pedestrian,:J5_c1,crossing
4.70,Ped2.0,Pedestrian,:J5_c0,crossing
4.80,CyanCar.0,Vehicle,-E6,normal
4.80,RedCar.0,Vehicle,-E4,normal
4.80,Ped1.0,Pedestrian,:J5_c1,crossing
4.80,Ped2.0,Pedestrian,:J5_c0,crossing
4.90,CyanCar.0,Vehicle,-E6,normal
4.90,RedCar.0,Vehicle,-E4,normal
4.90,Ped1.0,Pedestrian,:J5_c1,crossing
4.90,Ped2.0,Pedestrian,:J5_c0,crossing
5.00,CyanCar.0,Vehicle,-E6,normal
5.00,RedCar.0,Vehicle,-E4,normal
5.00,Ped1.0,Pedestrian,:J5_c1,crossing
5.00,Ped2.0,Pedestrian,:J5_c0,crossing
5.10,CyanCar.0,Vehicle,-E6,normal
5.10,RedCar.0,Vehicle,-E4,normal
5.10,Ped1.0,Pedestrian,:J5_c1,crossing
5.10,Ped2.0,Pedestrian,:J5_c0,crossing
5.20,CyanCar.0,Vehicle,-E6,normal
5.20,RedCar.0,Vehicle,-E4,normal
5.20,Ped1.0,Pedestrian,:J5_c1,crossing
5.20,Ped2.0,Pedestrian,:J5_c0,crossing
5.30,CyanCar.0,Vehicle,-E6,normal
5.30,RedCar.0,Vehicle,-E4,normal
5.30,Ped1.0,Pedestrian,:J5_c1,crossing
5.30,Ped2.0,Pedestrian,:J5_c0,crossing
5.40,CyanCar.0,Vehicle,-E6,normal
5.40,RedCar.0,Vehicle,-E4,normal
5.40,Ped1.0,Pedestrian,:J5_c1,crossing
5.40,Ped2.0,Pedestrian,:J5_c0,crossing
5.50,CyanCar.0,Vehicle,-E6,normal
5.50,RedCar.0,Vehicle,-E4,normal
5.50,Ped1.0,Pedestrian,:J5_c1,crossing
5.50,Ped2.0,Pedestrian,:J5_c0,crossing
5.60,CyanCar.0,Vehicle,-E6,normal
5.60,RedCar.0,Vehicle,-E4,normal
5.60,Ped1.0,Pedestrian,:J5_c1,crossing
5.60,Ped2.0,Pedestrian,:J5_c0,crossing
5.70,CyanCar.0,Vehicle,-E6,normal
5.70,RedCar.0,Vehicle,-E4,normal
5.70,Ped1.0,Pedestrian,:J5_c1,crossing
5.70,Ped2.0,Pedestrian,:J5_c0,crossing
5.80,CyanCar.0,Vehicle,-E6,normal
5.80,RedCar.0,Vehicle,-E4,normal
5.80,Ped1.0,Pedestrian,:J5_c1,crossing
5.80,Ped2.0,Pedestrian,:J5_c0,crossing
5.90,CyanCar.0,Vehicle,-E6,normal
5.90,RedCar.0,Vehicle,-E4,normal
5.90,Ped1.0,Pedestrian,:J5_c1,crossing
5.90,Ped2.0,Pedestrian,:J5_c0,crossing
6.00,CyanCar.0,Vehicle,-E6,normal
6.00,RedCar.0,Vehicle,-E4,normal
6.00,Ped1.0,Pedestrian,:J5_c1,crossing
6.00,Ped2.0,Pedestrian,:J5_c0,crossing
6.10,CyanCar.0,Vehicle,-E6,normal
6.10,RedCar.0,Vehicle,-E4,normal
6.10,Ped1.0,Pedestrian,:J5_c1,crossing
6.10,Ped2.0,Pedestrian,:J5_c0,crossing
6.20,CyanCar.0,Vehicle,-E6,normal
6.20,RedCar.0,Vehicle,-E4,normal
6.20,Ped1.0,Pedestrian,:J5_c1,crossing
6.20,Ped2.0,Pedestrian,:J5_c0,crossing
6.30,CyanCar.0,Vehicle,-E6,normal
6.30,RedCar.0,Vehicle,-E4,normal
6.30,Ped1.0,Pedestrian,:J5_c1,crossing
6.30,Ped2.0,Pedestrian,:J5_c0,crossing
6.40,CyanCar.0,Vehicle,-E6,normal
6.40,RedCar.0,Vehicle,-E4,normal
6.40,Ped1.0,Pedestrian,:J5_c1,crossing
6.40,Ped2.0,Pedestrian,:J5_c0,crossing
6.50,CyanCar.0,Vehicle,-E6,normal
6.50,RedCar.0,Vehicle,-E4,normal
6.50,Ped1.0,Pedestrian,:J5_c1,crossing
6.50,Ped2.0,Pedestrian,:J5_c0,crossing
6.60,CyanCar.0,Vehicle,-E6,normal
6.60,RedCar.0,Vehicle,-E4,normal
6.60,Ped1.0,Pedestrian,:J5_c1,crossing
6.60,Ped2.0,Pedestrian,:J5_c0,crossing
6.70,CyanCar.0,Vehicle,-E6,normal
6.70,RedCar.0,Vehicle,-E4,normal
6.70,Ped1.0,Pedestrian,:J5_c1,crossing
6.70,Ped2.0,Pedestrian,:J5_c0,crossing
6.80,CyanCar.0,Vehicle,-E6,normal
6.80,RedCar.0,Vehicle,-E4,normal
6.80,Ped1.0,Pedestrian,:J5_c1,crossing
6.80,Ped2.0,Pedestrian,:J5_c0,crossing
