Waktu(s),ID Kendaraan,ID Pejalan Kaki,Jarak(m),Kecepatan(m/s)
22.0,CyanCar.0,Ped1.1,1.63,11.28
37.6,RedCar.2,Ped2.2,1.65,10.94
58.6,CyanCar.5,Ped1.3,1.80,8.61
63.9,CyanCar.6,Ped2.3,1.86,6.51
73.8,CyanCar.7,Ped1.4,1.52,9.70
73.8,RedCar.7,Ped2.4,1.96,9.66
90.8,RedCar.9,Ped2.5,1.88,7.14
94.3,CyanCar.10,Ped1.5,1.81,9.06
95.0,RedCar.10,Ped2.5,1.69,7.15
110.5,CyanCar.12,Ped1.6,1.66,8.31
111.9,RedCar.12,Ped2.6,1.69,8.79
115.0,RedCar.13,Ped2.6,1.86,9.00
115.6,CyanCar.13,Ped1.6,1.66,12.05
129.5,CyanCar.15,Ped1.7,1.71,8.86
147.0,RedCar.17,Ped2.8,1.73,8.43
147.9,CyanCar.17,Ped1.8,1.72,9.28
152.9,CyanCar.18,Ped1.8,1.66,9.06
162.4,CyanCar.19,Ped1.9,1.56,10.22
167.5,CyanCar.20,Ped1.9,1.62,10.75
177.2,RedCar.22,Ped1.9,1.83,6.37
182.1,CyanCar.22,Ped1.10,1.80,8.75
203.3,RedCar.25,Ped2.11,1.65,8.96
217.5,RedCar.27,Ped2.12,1.87,8.96
221.4,CyanCar.27,Ped1.12,1.72,8.66
222.9,RedCar.28,Ped2.12,1.66,10.90
236.3,RedCar.29,Ped2.13,1.71,8.61
239.2,CyanCar.29,Ped1.13,1.82,7.12
253.3,RedCar.32,Ped2.14,1.60,7.98
254.6,CyanCar.32,Ped1.14,1.96,8.25
264.5,CyanCar.34,Ped2.14,1.56,7.06
273.8,CyanCar.35,Ped1.15,1.66,8.32
275.2,RedCar.35,Ped2.15,1.79,10.22
286.1,RedCar.37,Ped1.15,1.99,7.00
288.4,RedCar.37,Ped2.16,1.84,10.99
288.5,CyanCar.37,Ped1.16,1.94,10.26
306.2,CyanCar.39,Ped1.17,1.78,7.86
307.8,RedCar.39,Ped2.17,1.17,9.26
311.7,CyanCar.40,Ped1.17,1.89,7.96
312.1,RedCar.40,Ped2.17,2.00,8.63
325.3,CyanCar.42,Ped1.18,1.68,8.29
327.7,RedCar.42,Ped2.18,1.93,9.03
335.8,CyanCar.44,Ped2.18,1.82,6.69
342.8,RedCar.44,Ped2.19,1.89,7.89
346.1,RedCar.45,Ped2.19,1.63,11.94
346.3,CyanCar.45,Ped1.19,1.78,8.50
362.2,CyanCar.47,Ped1.20,1.90,9.13
362.4,RedCar.47,Ped2.20,1.67,9.90
370.3,RedCar.49,Ped1.20,1.94,5.89
379.2,CyanCar.49,Ped1.21,1.59,7.32
381.4,CyanCar.50,Ped1.21,1.70,10.60
396.2,CyanCar.52,Ped1.22,1.67,8.91
396.9,RedCar.52,Ped2.22,1.72,10.78
414.5,RedCar.53,Ped2.23,1.99,8.51
416.7,CyanCar.54,Ped1.23,1.76,7.30
418.5,RedCar.55,Ped2.23,1.93,8.75
419.3,CyanCar.55,Ped1.23,1.67,9.36
432.5,CyanCar.57,Ped1.24,1.95,10.05
450.2,CyanCar.59,Ped1.25,1.89,7.25
454.3,RedCar.60,Ped2.25,1.63,11.16
454.4,CyanCar.60,Ped1.25,1.66,9.02
467.3,RedCar.62,Ped1.25,1.89,5.78
470.1,RedCar.62,Ped2.26,1.69,9.10
470.7,CyanCar.62,Ped1.26,1.67,9.97
487.3,RedCar.64,Ped2.27,1.87,8.63
489.9,CyanCar.65,Ped1.27,1.77,8.54
506.9,RedCar.67,Ped2.28,1.93,8.47
522.2,CyanCar.69,Ped1.29,1.52,8.35
526.1,CyanCar.70,Ped1.29,1.81,8.38
543.8,RedCar.72,Ped2.30,1.64,8.93
563.7,RedCar.75,Ped2.31,1.68,8.50
563.8,CyanCar.75,Ped1.31,1.64,9.95
577.0,RedCar.77,Ped2.32,1.95,10.14
577.9,CyanCar.77,Ped1.32,1.57,8.54
599.6,RedCar.80,Ped2.33,1.96,9.64
